,alias,auctionEndTime,baseCcy,category,contTdSwTime,ctMult,ctType,ctVal,ctValCcy,expTime,futureSettlement,instFamily,instId,instIdCode,instType,lever,listTime,lotSz,maxIcebergSz,maxLmtAmt,maxLmtSz,maxMktAmt,maxMktSz,maxStopSz,maxTriggerSz,maxTwapSz,minSz,openType,optType,quoteCcy,ruleType,settleCcy,state,stk,tickSz,tradeQuoteCcyList,uly
92,,,,1,,1,linear,0.1,EGLD,,False,EGLD-USDT,EGLD-USDT-SWAP,10505,SWAP,20,1608620400000,1,100000000.0000000000000000,20000000,100000000,,15000,15000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.01,[],EGLD-USDT
93,,,,1,,1,linear,1,EIGEN,,False,EIGEN-USDT,EIGEN-USDT-SWAP,176322,SWAP,20,1727764200682,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],EIGEN-USDT
94,,,,1,,1,linear,10,ENJ,,False,ENJ-USDT,ENJ-USDT-SWAP,150367,SWAP,20,1709288701407,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],ENJ-USDT
95,,,,1,,1,linear,0.1,ENS,,False,ENS-USDT,ENS-USDT-SWAP,46126,SWAP,20,1636623946265,1,100000000.0000000000000000,20000000,100000000,,60000,60000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.001,[],ENS-USDT
96,,,,1,,1,linear,10,ETC,,False,ETC-USDT,ETC-USDT-SWAP,10469,SWAP,50,1573557408000,0.01,100000000.0000000000000000,20000000,100000000,,2000,2000,100000000.0000000000000000,100000000.0000000000000000,0.01,,,,normal,USDT,live,,0.01,[],ETC-USDT
97,,,,1,,1,linear,0.1,ETHW,,False,ETHW-USDT,ETHW-USDT-SWAP,101387,SWAP,20,1663311331635,1,100000000.0000000000000000,20000000,100000000,,150000,150000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.001,[],ETHW-USDT
98,,,,1,,1,linear,1,ETHFI,,False,ETHFI-USDT,ETHFI-USDT-SWAP,152367,SWAP,20,1710764700945,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],ETHFI-USDT
99,,,,1,,1,linear,1,FARTCOIN,,False,FARTCOIN-USDT,FARTCOIN-USDT-SWAP,189540,SWAP,20,1734685200393,1,100000000.0000000000000000,20000000,100000000,,100000,100000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],FARTCOIN-USDT
100,,,,1,,1,linear,0.1,FIL,,False,FIL-USDT,FIL-USDT-SWAP,10507,SWAP,50,1565431971000,1,100000000.0000000000000000,20000000,100000000,,600000,600000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.001,[],FIL-USDT
101,,,,1,,1,linear,10,FLM,,False,FLM-USDT,FLM-USDT-SWAP,10508,SWAP,20,1601359200000,1,100000000.0000000000000000,20000000,100000000,,18000,18000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00001,[],FLM-USDT
102,,,,1,,1,linear,100000,FLOKI,,False,FLOKI-USDT,FLOKI-USDT-SWAP,115489,SWAP,20,1676876100607,1,100000000.0000000000000000,20000000,100000000,,20000,20000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.00000001,[],FLOKI-USDT
103,,,,1,,1,linear,10,FLOW,,False,FLOW-USDT,FLOW-USDT-SWAP,137141,SWAP,50,1699350900756,1,100000000.0000000000000000,20000000,100000000,,15000,15000,100000000.0000000000000000,100000000.0000000000000000,1,,,,normal,USDT,live,,0.0001,[],FLOW-USDT
